Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Oct 27 2015,8:00 PM,Detroit Pistons,106,Atlanta Hawks,94,Box Score,,19187,
Tue Oct 27 2015,8:00 PM,Cleveland Cavaliers,95,Chicago Bulls,97,Box Score,,21957,
Tue Oct 27 2015,10:30 PM,New Orleans Pelicans,95,Golden State Warriors,111,Box Score,,19596,
Wed Oct 28 2015,7:30 PM,Philadelphia 76ers,95,Boston Celtics,112,Box Score,,18624,
Wed Oct 28 2015,7:30 PM,Chicago Bulls,115,Brooklyn Nets,100,Box Score,,17732,
Wed Oct 28 2015,7:30 PM,Utah Jazz,87,Detroit Pistons,92,Box Score,,18434,
Wed Oct 28 2015,8:00 PM,Denver Nuggets,105,Houston Rockets,85,Box Score,,18240,
Wed Oct 28 2015,10:30 PM,Minnesota Timberwolves,112,Los Angeles Lakers,111,Box Score,,18997,
Wed Oct 28 2015,8:00 PM,Cleveland Cavaliers,106,Memphis Grizzlies,76,Box Score,,18119,
Wed Oct 28 2015,7:30 PM,Charlotte Hornets,94,Miami Heat,104,Box Score,,19724,
Wed Oct 28 2015,8:00 PM,New York Knicks,122,Milwaukee Bucks,97,Box Score,,18717,
Wed Oct 28 2015,8:00 PM,San Antonio Spurs,106,Oklahoma City Thunder,112,Box Score,,18203,
Wed Oct 28 2015,7:00 PM,Washington Wizards,88,Orlando Magic,87,Box Score,,18846,
Wed Oct 28 2015,10:00 PM,Dallas Mavericks,111,Phoenix Suns,95,Box Score,,18055,
Wed Oct 28 2015,10:00 PM,New Orleans Pelicans,94,Portland Trail Blazers,112,Box Score,,19393,
Wed Oct 28 2015,10:00 PM,Los Angeles Clippers,111,Sacramento Kings,104,Box Score,,17458,
Wed Oct 28 2015,7:30 PM,Indiana Pacers,99,Toronto Raptors,106,Box Score,,19800,
Thu Oct 29 2015,7:00 PM,Memphis Grizzlies,112,Indiana Pacers,103,Box Score,,18165,
Thu Oct 29 2015,10:30 PM,Dallas Mavericks,88,Los Angeles Clippers,104,Box Score,,19218,
Thu Oct 29 2015,8:00 PM,Atlanta Hawks,112,New York Knicks,101,Box Score,,19812,
Fri Oct 30 2015,8:00 PM,Charlotte Hornets,94,Atlanta Hawks,97,Box Score,,17024,
Fri Oct 30 2015,7:30 PM,Toronto Raptors,113,Boston Celtics,103,Box Score,,16898,
Fri Oct 30 2015,7:00 PM,Miami Heat,92,Cleveland Cavaliers,102,Box Score,,20562,
Fri Oct 30 2015,9:00 PM,Minnesota Timberwolves,95,Denver Nuggets,78,Box Score,,17660,
Fri Oct 30 2015,7:30 PM,Chicago Bulls,94,Detroit Pistons,98,Box Score,OT,16035,
Fri Oct 30 2015,9:30 PM,Golden State Warriors,112,Houston Rockets,92,Box Score,,18142,
Fri Oct 30 2015,8:00 PM,Washington Wizards,118,Milwaukee Bucks,113,Box Score,,13858,
Fri Oct 30 2015,7:00 PM,Oklahoma City Thunder,139,Orlando Magic,136,Box Score,2OT,18846,
Fri Oct 30 2015,7:00 PM,Utah Jazz,99,Philadelphia 76ers,71,Box Score,,17122,
Fri Oct 30 2015,10:30 PM,Portland Trail Blazers,92,Phoenix Suns,110,Box Score,,18055,
Fri Oct 30 2015,10:00 PM,Los Angeles Lakers,114,Sacramento Kings,132,Box Score,,17391,
Fri Oct 30 2015,8:30 PM,Brooklyn Nets,75,San Antonio Spurs,102,Box Score,,18418,
Sat Oct 31 2015,7:00 PM,Utah Jazz,97,Indiana Pacers,76,Box Score,,14412,
Sat Oct 31 2015,10:30 PM,Sacramento Kings,109,Los Angeles Clippers,114,Box Score,,19060,
Sat Oct 31 2015,8:00 PM,Brooklyn Nets,91,Memphis Grizzlies,101,Box Score,,16013,
Sat Oct 31 2015,7:30 PM,Golden State Warriors,134,New Orleans Pelicans,120,Box Score,,18406,
Sat Oct 31 2015,10:00 PM,Phoenix Suns,101,Portland Trail Blazers,90,Box Score,,17906,
Sat Oct 31 2015,7:00 PM,New York Knicks,117,Washington Wizards,110,Box Score,,20356,
Sun Nov 1 2015,3:30 PM,San Antonio Spurs,95,Boston Celtics,87,Box Score,,17461,
Sun Nov 1 2015,7:00 PM,Orlando Magic,87,Chicago Bulls,92,Box Score,,21585,
Sun Nov 1 2015,2:00 PM,Atlanta Hawks,94,Charlotte Hornets,92,Box Score,,18691,
Sun Nov 1 2015,9:30 PM,Dallas Mavericks,103,Los Angeles Lakers,93,Box Score,,18997,
Sun Nov 1 2015,6:00 PM,Houston Rockets,89,Miami Heat,109,Box Score,,19600,
Sun Nov 1 2015,7:00 PM,Denver Nuggets,93,Oklahoma City Thunder,117,Box Score,,18203,
Sun Nov 1 2015,6:00 PM,Milwaukee Bucks,87,Toronto Raptors,106,Box Score,,19800,
Mon Nov 2 2015,7:30 PM,Milwaukee Bucks,103,Brooklyn Nets,96,Box Score,,12576,
Mon Nov 2 2015,10:30 PM,Memphis Grizzlies,69,Golden State Warriors,119,Box Score,,19596,
Mon Nov 2 2015,8:00 PM,Oklahoma City Thunder,105,Houston Rockets,110,Box Score,,17224,
Mon Nov 2 2015,10:30 PM,Phoenix Suns,96,Los Angeles Clippers,102,Box Score,,19060,
Mon Nov 2 2015,8:00 PM,Portland Trail Blazers,106,Minnesota Timberwolves,101,Box Score,,18903,
Mon Nov 2 2015,7:30 PM,San Antonio Spurs,94,New York Knicks,84,Box Score,,19812,
Mon Nov 2 2015,7:00 PM,Cleveland Cavaliers,107,Philadelphia 76ers,100,Box Score,,18094,
Tue Nov 3 2015,7:00 PM,Chicago Bulls,105,Charlotte Hornets,130,Box Score,,15136,
Tue Nov 3 2015,8:30 PM,Toronto Raptors,102,Dallas Mavericks,91,Box Score,,20034,
Tue Nov 3 2015,7:30 PM,Indiana Pacers,94,Detroit Pistons,82,Box Score,,13325,
Tue Nov 3 2015,10:30 PM,Denver Nuggets,120,Los Angeles Lakers,109,Box Score,,18997,
Tue Nov 3 2015,7:30 PM,Atlanta Hawks,98,Miami Heat,92,Box Score,,19600,
Tue Nov 3 2015,8:00 PM,Orlando Magic,103,New Orleans Pelicans,94,Box Score,,16876,
Tue Nov 3 2015,10:00 PM,Memphis Grizzlies,103,Sacramento Kings,89,Box Score,,17317,
Wed Nov 4 2015,8:00 PM,Brooklyn Nets,87,Atlanta Hawks,101,Box Score,,14044,
Wed Nov 4 2015,8:00 PM,New York Knicks,86,Cleveland Cavaliers,96,Box Score,,20562,
Wed Nov 4 2015,10:30 PM,Los Angeles Clippers,108,Golden State Warriors,112,Box Score,,19596,
Wed Nov 4 2015,8:00 PM,Orlando Magic,114,Houston Rockets,119,Box Score,OT,16735,
Wed Nov 4 2015,7:00 PM,Boston Celtics,98,Indiana Pacers,100,Box Score,,14022,
Wed Nov 4 2015,8:00 PM,Philadelphia 76ers,87,Milwaukee Bucks,91,Box Score,,12437,
Wed Nov 4 2015,8:00 PM,Toronto Raptors,103,Oklahoma City Thunder,98,Box Score,,18203,
Wed Nov 4 2015,9:00 PM,Sacramento Kings,97,Phoenix Suns,118,Box Score,,16497,
Wed Nov 4 2015,9:00 PM,Portland Trail Blazers,108,Utah Jazz,92,Box Score,,19911,
Wed Nov 4 2015,7:00 PM,San Antonio Spurs,99,Washington Wizards,102,Box Score,,17721,
Thu Nov 5 2015,8:00 PM,Oklahoma City Thunder,98,Chicago Bulls,104,Box Score,,21861,
Thu Nov 5 2015,8:30 PM,Charlotte Hornets,108,Dallas Mavericks,94,Box Score,,19635,
Thu Nov 5 2015,9:00 PM,Utah Jazz,96,Denver Nuggets,84,Box Score,,9906,
Thu Nov 5 2015,8:00 PM,Miami Heat,96,Minnesota Timberwolves,84,Box Score,,11794,
Thu Nov 5 2015,10:30 PM,Memphis Grizzlies,96,Portland Trail Blazers,115,Box Score,,19393,
Fri Nov 6 2015,7:30 PM,Washington Wizards,98,Boston Celtics,118,Box Score,,18624,
Fri Nov 6 2015,7:30 PM,Los Angeles Lakers,104,Brooklyn Nets,98,Box Score,,17732,
Fri Nov 6 2015,7:30 PM,Philadelphia 76ers,102,Cleveland Cavaliers,108,Box Score,,20562,
Fri Nov 6 2015,10:30 PM,Denver Nuggets,104,Golden State Warriors,119,Box Score,,19596,
Fri Nov 6 2015,8:00 PM,Miami Heat,87,Indiana Pacers,90,Box Score,,16914,
Fri Nov 6 2015,8:00 PM,Atlanta Hawks,121,New Orleans Pelicans,115,Box Score,,16983,
Fri Nov 6 2015,7:30 PM,Milwaukee Bucks,99,New York Knicks,92,Box Score,,19812,
Fri Nov 6 2015,7:00 PM,Toronto Raptors,87,Orlando Magic,92,Box Score,,16578,
