seas,date,wk,h,v,sprv,ou,ptsh,ptsv,neutral,playoff,stad
2002,09/05/2002,1,NYG,SF,-4,39,13,16,0,0,Giants Stadium
2002,09/08/2002,1,BUF,NYJ,-3,43,31,37,0,0,Ralph Wilson Stadium
2002,09/08/2002,1,CAR,BAL,-0,33,10,7,0,0,Bank of America Stadium
2002,09/08/2002,1,CHI,MIN,4.5,41,27,23,0,0,Memorial Stadium (Champaign)
2002,09/08/2002,1,CIN,LAC,3,37,6,34,0,0,Paul Brown Stadium
2002,09/08/2002,1,CLE,KC,2,36,39,40,0,0,FirstEnergy Stadium
2002,09/08/2002,1,DEN,LAR,-3,51,23,16,0,0,Sports Authority Field at Mile High
2002,09/08/2002,1,GB,ATL,7,42.5,37,34,0,0,Lambeau Field
2002,09/08/2002,1,HOU,DAL,-8.5,33.5,19,10,0,0,Reliant Stadium
2002,09/08/2002,1,JAX,IND,-3.5,44,25,28,0,0,EverBank Field
2002,09/08/2002,1,MIA,DET,9.5,35.5,49,21,0,0,Sun Life Stadium
2002,09/08/2002,1,OAK,SEA,7.5,40,31,17,0,0,Oakland Coliseum
2002,09/08/2002,1,TB,NO,6,37.5,20,26,0,0,Raymond James Stadium
2002,09/08/2002,1,TEN,PHI,2,37,27,24,0,0,Nissan Stadium
2002,09/08/2002,1,WAS,ARI,6,44.5,31,23,0,0,FedExField
2002,09/09/2002,1,NE,PIT,-2.5,37.5,30,14,0,0,Gillette Stadium
2002,09/15/2002,2,ATL,CHI,2.5,45,13,14,0,0,Georgia Dome
2002,09/15/2002,2,BAL,TB,-4.5,32,0,25,0,0,M&T Bank Stadium
2002,09/15/2002,2,CAR,DET,3,35.5,31,7,0,0,Bank of America Stadium
2002,09/15/2002,2,CLE,CIN,3.5,39,20,7,0,0,FirstEnergy Stadium
2002,09/15/2002,2,DAL,TEN,-3.5,37.5,21,13,0,0,Texas Stadium
2002,09/15/2002,2,IND,MIA,-0,47,13,21,0,0,RCA Dome
2002,09/15/2002,2,KC,JAX,3.5,46,16,23,0,0,Arrowhead Stadium
2002,09/15/2002,2,MIN,BUF,3.5,49,39,45,0,0,Hubert H. Humphrey Metrodome
2002,09/15/2002,2,NO,GB,-2.5,45.5,35,20,0,0,Louisiana Superdome
2002,09/15/2002,2,NYJ,NE,1,41,7,44,0,0,Giants Stadium
2002,09/15/2002,2,PIT,OAK,4,39.5,17,30,0,0,Heinz Field
2002,09/15/2002,2,LAC,HOU,13.5,34,24,3,0,0,Qualcomm Stadium
2002,09/15/2002,2,SF,DEN,3.5,44,14,24,0,0,Candlestick Park
2002,09/15/2002,2,SEA,ARI,4,40.5,13,24,0,0,CenturyLink Field
2002,09/15/2002,2,LAR,NYG,12,46,21,26,0,0,Edward Jones Dome
2002,09/16/2002,2,WAS,PHI,-3,44,7,37,0,0,FedExField
2002,09/22/2002,3,ARI,LAC,-2.5,39,15,23,0,0,University of Phoenix Stadium
2002,09/22/2002,3,ATL,CIN,7,42.5,30,3,0,0,Georgia Dome
2002,09/22/2002,3,CHI,NO,-2,40.5,23,29,0,0,Memorial Stadium (Champaign)
